編號,名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,卡片,封印,騎乘,出沒,一級出沒,入手方法,入手類型,image,來源
092,印地安仙人掌,植物系,26,36,24,9,15,8,110,水5火5,攻擊LV1、防禦LV1,3級普卡,○,○,索奇亞島奇利村東側出口外,"完成「夕豔之花(巨花物語2)」任務隨機取得、索奇亞島奇利村域(343,312)、(306,329)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","索奇亞島奇利村東側出口外；完成「夕豔之花(巨花物語2)」任務隨機取得、索奇亞島奇利村域(343,312)、(306,329)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/印地安仙人掌.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #092
093,火焰舞者,植物系,19,38,18,15,25,8,115,水2火8,攻擊LV1、防禦LV1,5級金卡,○,○,,用鯰魚大王的東西和加納村的大鯰魚王研究家換取；請參考「鯰魚洞窟」任務、完成「火焰的記憶」任務隨機取得、完成「夕豔之花(巨花物語2)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包,用鯰魚大王的東西和加納村的大鯰魚王研究家換取；請參考「鯰魚洞窟」任務、完成「火焰的記憶」任務隨機取得、完成「夕豔之花(巨花物語2)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包,捕捉,/img/原生寵物/火焰舞者.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #093
094,史萊姆,特殊系,46,26,11,6,16,9,105,地7風3,攻擊LV1、防禦LV1,1級普卡,○,○,法蘭城龜裂的地下道、佈滿青苔的洞窟、哈巴魯東邊洞窟、白之練兵場(黃)、通往湖心的洞窟、環山之頂的？？？(第二層),法蘭城修理工波利的家中，龜裂的地下道全域,法蘭城龜裂的地下道、佈滿青苔的洞窟、哈巴魯東邊洞窟、白之練兵場(黃)、通往湖心的洞窟、環山之頂的？？？(第二層)；法蘭城修理工波利的家中，龜裂的地下道全域,捕捉,/img/原生寵物/史萊姆.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #094
095,液態史萊姆,特殊系,49,24,15,5,12,9,105,地1水9,攻擊LV1、明鏡止水LV1,2級普卡,○,○,法蘭城龜裂的地下道、迷之迷宮、科學家的牢房、白之練兵場(黃)、水曜之域的通道(343.211),法蘭城修理工波利的家中龜裂的地下道 NPC形式出現,法蘭城龜裂的地下道、迷之迷宮、科學家的牢房、白之練兵場(黃)、水曜之域的通道(343.211)；法蘭城修理工波利的家中龜裂的地下道 NPC形式出現,捕捉,/img/原生寵物/液態史萊姆.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #095
096,果凍史萊姆,特殊系,45,31,6,10,13,9,105,水1火9,攻擊LV1、防禦LV1、吸血攻擊LV1,3級銀卡,○,○,莎蓮娜海底洞窟、炎之洞窟、科學家的牢房、奇怪的坑道、白之練兵場(黃)、日曜之城、雲霧之湖、旭日山,"莎蓮娜海底洞窟傑諾瓦鎮側一樓(7,8)","莎蓮娜海底洞窟、炎之洞窟、科學家的牢房、奇怪的坑道、白之練兵場(黃)、日曜之城、雲霧之湖、旭日山；莎蓮娜海底洞窟傑諾瓦鎮側一樓(7,8)",捕捉,/img/原生寵物/果凍史萊姆.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #096
097,布丁史萊姆,特殊系,40,25,12,8,20,9,105,火1風9,攻擊LV1、防禦LV1、混亂攻擊LV1,3級銀卡,○,○,鯰魚大王身體裡、迷之迷宮、科學家的牢房、王族的通道、白之練兵場(黃),"鯰魚大王的胃(97,84)；請參考「鯰魚洞窟」任務","鯰魚大王身體裡、迷之迷宮、科學家的牢房、王族的通道、白之練兵場(黃)；鯰魚大王的胃(97,84)；請參考「鯰魚洞窟」任務",捕捉,/img/原生寵物/布丁史萊姆.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #097
098,火精,特殊系,25,25,25,25,25,9,125,火10,攻擊LV1、防禦LV1、強隕LV1,6級金卡,○,○,,完成「法蘭樂透彩券」任務隨機取得、活動「魔力拉霸」,完成「法蘭樂透彩券」任務隨機取得、活動「魔力拉霸」,捕捉,/img/原生寵物/火精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #098
099,風精,特殊系,25,25,25,25,25,9,125,風10,攻擊LV1、防禦LV1、強冰LV1,6級金卡,○,○,,完成「法蘭樂透彩券」任務隨機取得、活動「魔力拉霸」,完成「法蘭樂透彩券」任務隨機取得、活動「魔力拉霸」,捕捉,/img/原生寵物/風精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #099
100,水精,特殊系,25,25,25,25,25,9,125,水10,攻擊LV1、強火LV1,6級金卡,○,○,,完成「法蘭樂透彩券」任務隨機取得、活動「魔力拉霸」,完成「法蘭樂透彩券」任務隨機取得、活動「魔力拉霸」,捕捉,/img/原生寵物/水精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #100
101,地精,特殊系,25,25,25,25,25,9,125,地10,攻擊LV1、防禦LV1、強風LV1,6級金卡,○,○,蓮華之道,完成「法蘭樂透彩券」任務隨機取得、活動「魔力拉霸」,蓮華之道；完成「法蘭樂透彩券」任務隨機取得、活動「魔力拉霸」,捕捉,/img/原生寵物/地精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #101
102,頑皮炸彈,特殊系,15,15,15,15,40,10,100,地8水2,攻擊LV1、防禦LV1,1級普卡,○,○,米內葛爾島南恰拉山第一通道、土之洞窟、環山之頂的？？？(第一層),"南恰拉山第一通道(35,5)、(33,5)、完成「鬼之烏克蘭」任務隨機取得","米內葛爾島南恰拉山第一通道、土之洞窟、環山之頂的？？？(第一層)；南恰拉山第一通道(35,5)、(33,5)、完成「鬼之烏克蘭」任務隨機取得",捕捉,/img/原生寵物/頑皮炸彈.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #102
103,寶貝炸彈,特殊系,14,17,11,16,42,10,100,水8火2,攻擊LV1、防禦LV1,2級銀卡,○,○,芙蕾雅島霞之洞窟、里歐波多洞窟、詛咒的迷宮31至40樓,"詛咒的迷宮地下36樓(22,5)；請參考「戰鬥系階級提昇Ⅲ」任務","芙蕾雅島霞之洞窟、里歐波多洞窟、詛咒的迷宮31至40樓；詛咒的迷宮地下36樓(22,5)；請參考「戰鬥系階級提昇Ⅲ」任務",捕捉,/img/原生寵物/寶貝炸彈.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #103
104,大炸彈,特殊系,12,20,14,14,40,10,100,火8風2,攻擊LV1、防禦LV1,2級銀卡,○,○,貝茲雷姆迷宮、貝尼恰斯火山外圍、雪拉威森塔、日曜之城,"雪拉威森塔39F(96,127)、日耀之域(667,174)","貝茲雷姆迷宮、貝尼恰斯火山外圍、雪拉威森塔、日曜之城；雪拉威森塔39F(96,127)、日耀之域(667,174)",捕捉,/img/原生寵物/大炸彈.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #104
105,漂浮炸彈,特殊系,16,14,14,17,39,10,100,地2風8,攻擊LV1、防禦LV1,1級普卡,○,○,法蘭城地下靈堂、風之洞窟、競技場的迷宮、殷紅的山谷、彩葉原、將軍塚－墓室、水曜之域,"競技場的迷宮地圖一(53,43)、彩葉園吊橋守衛之前(47,29)；請參考「彩葉草之戀」任務、完成「弦音語(將軍塚II)」任務隨機取得","法蘭城地下靈堂、風之洞窟、競技場的迷宮、殷紅的山谷、彩葉原、將軍塚－墓室、水曜之域；競技場的迷宮地圖一(53,43)、彩葉園吊橋守衛之前(47,29)；請參考「彩葉草之戀」任務、完成「弦音語(將軍塚II)」任務隨機取得",捕捉,/img/原生寵物/漂浮炸彈.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #105
106,丸子炸彈,特殊系,17,17,7,17,47,10,105,地5風5,攻擊LV1、防禦LV1,7級金卡,○,○,,完成「法蘭樂透彩券」任務隨機取得,完成「法蘭樂透彩券」任務隨機取得,捕捉,/img/原生寵物/丸子炸彈.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #106
111,血腥之刃,金屬系,9,39,34,14,24,6,120,地9水1,攻擊LV1、防禦LV1,6銀卡,○,○,黑色的祈禱、庫德洞窟、詛咒的迷宮第11至20樓,"詛咒的迷宮第18樓(22,12)；請參考「戰鬥系階級提昇Ⅲ」任務、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品","黑色的祈禱、庫德洞窟、詛咒的迷宮第11至20樓；詛咒的迷宮第18樓(22,12)；請參考「戰鬥系階級提昇Ⅲ」任務、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/血腥之刃.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #111
112,殺龍之刃,金屬系,17,37,41,11,19,6,125,水9火1,攻擊LV1、防禦LV1,5級普卡,○,○,巴洛斯島六耀之塔內部、庫德洞窟、白迷宮,"白迷宮3樓(63,150)；請參考「誓言之花」任務、完成「永恆之都」任務隨機取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品","巴洛斯島六耀之塔內部、庫德洞窟、白迷宮；白迷宮3樓(63,150)；請參考「誓言之花」任務、完成「永恆之都」任務隨機取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/殺龍之刃.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #112
113,火焰之刃,金屬系,10,39,28,12,31,6,120,火9風1,攻擊LV1、單火LV1,5級普卡,○,○,齋戒男性角色路線,"齋戒地圖三男性路線(17,16)；請參考「開啟者」任務、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品","齋戒男性角色路線；齋戒地圖三男性路線(17,16)；請參考「開啟者」任務、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/火焰之刃.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #113
114,烈風之刃,金屬系,12,44,29,13,27,6,125,地1風9,攻擊LV1、防禦LV1、強風LV1,6銀卡,○,○,巴洛斯島六耀之塔內部、閣樓迷宮、星詠的宮殿,"星詠的宮殿地下1F(123,137)；請參考「星詠的宮殿」任務、完成「永恆之都」任務隨機取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品","巴洛斯島六耀之塔內部、閣樓迷宮、星詠的宮殿；星詠的宮殿地下1F(123,137)；請參考「星詠的宮殿」任務、完成「永恆之都」任務隨機取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/烈風之刃.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #114
115,嚇人箱,金屬系,11,26,26,11,31,9,105,火2風8,攻擊LV1、防禦LV1、混亂攻擊LV1,2普卡,○,○,開啟寶箱後隨機出現，目前補捉等級最低只有LV3，芙蕾雅島哥布林之家、霞之洞窟出現,魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,開啟寶箱後隨機出現，目前補捉等級最低只有LV3，芙蕾雅島哥布林之家、霞之洞窟出現；魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/嚇人箱.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #115
116,兔耳嚇人箱,金屬系,9,24,23,16,33,9,105,水2火8,攻擊LV1、防禦LV1、遺忘攻擊LV1,2普卡,○,○,開啟寶箱後隨機出現，目前補捉等級最低只有LV3，芙蕾雅島哥布林之家、霞之洞窟出現,魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,開啟寶箱後隨機出現，目前補捉等級最低只有LV3，芙蕾雅島哥布林之家、霞之洞窟出現；魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/兔耳嚇人箱.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #116
117,紅魔嚇人箱,金屬系,12,32,27,12,27,8,110,水5火5,攻擊LV1、防禦LV1、吸血LV1,3普卡,○,○,開啟寶箱後隨機出現，目前補捉等級最低只有LV4，芙蕾雅島哥布林之家、霞之洞窟出現,魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,開啟寶箱後隨機出現，目前補捉等級最低只有LV4，芙蕾雅島哥布林之家、霞之洞窟出現；魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/紅魔嚇人箱.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #117
118,藍魔嚇人箱,金屬系,15,37,28,8,22,8,110,地2水8,攻擊LV1、防禦LV1、陽炎LV1,3普卡,○,○,開啟寶箱後隨機出現，目前補捉等級最低只有LV5，芙蕾雅島哥布林之家、霞之洞窟出現,魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,開啟寶箱後隨機出現，目前補捉等級最低只有LV5，芙蕾雅島哥布林之家、霞之洞窟出現；魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/藍魔嚇人箱.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #118
119,綠蛙嚇人箱,金屬系,13,35,29,10,23,8,110,地8風2,攻擊LV1、防禦LV1、反擊LV1,3級普卡,○,○,開啟寶箱後隨機出現，目前補捉等級最低只有LV6，芙蕾雅島哥布林之家、霞之洞窟出現,魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,開啟寶箱後隨機出現，目前補捉等級最低只有LV6，芙蕾雅島哥布林之家、霞之洞窟出現；魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/綠蛙嚇人箱.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #119
120,純白嚇人箱,金屬系,9,24,29,11,37,8,110,地5風5,攻擊LV1、防禦LV1、混亂攻擊LV1、全部抗咒LV1,7級銀卡,○,○,開啟寶箱後隨機出現，目前補捉等級最低只有LV7，芙蕾雅島哥布林之家、霞之洞窟出現,魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,開啟寶箱後隨機出現，目前補捉等級最低只有LV7，芙蕾雅島哥布林之家、霞之洞窟出現；魔力拉霸活動、完成「黃金迷宮」隨機取得、收穫祭迷宮、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/純白嚇人箱.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #120
121,冰怪,金屬系,20,30,46,7,12,7,115,水10,攻擊LV1、防禦LV1,4級普卡,○,○,齋戒女性角色路線,"齋戒女角色地圖三(134,85)；請參考「開啟者」任務、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品","齋戒女性角色路線；齋戒女角色地圖三(134,85)；請參考「開啟者」任務、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/冰怪.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #121
122,石怪,金屬系,15,38,43,6,13,7,115,地10,攻擊LV1、防禦LV1,4級普卡,○,○,將軍塚、魔法大學屋頂、火妖山谷,完成「月亮俱樂部」任務取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,將軍塚、魔法大學屋頂、火妖山谷；完成「月亮俱樂部」任務取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/石怪.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #122
123,銀怪,金屬系,10,32,48,8,17,7,115,火10,攻擊LV1、防禦LV1,5級銀卡,○,○,艾汀之塔、將軍塚、環山之頂的？？？(第一層),完成「古錢交易商」任務取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,艾汀之塔、將軍塚、環山之頂的？？？(第一層)；完成「古錢交易商」任務取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/銀怪.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #123
124,金怪,金屬系,14,41,40,5,15,7,115,風10,攻擊LV1、防禦LV1,5級銀卡,○,○,將軍塚,完成「古錢交易商」任務取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,將軍塚；完成「古錢交易商」任務取得、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/金怪.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #124
125,惡魔螃蟹,金屬系,16,32,35,11,11,9,105,水2火8,攻擊LV1、防禦LV1、連擊LV1,2級普卡,○,○,芙蕾雅島維諾亞洞窟,維諾亞洞窟內只要有敵人出沒的地方、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,芙蕾雅島維諾亞洞窟；維諾亞洞窟內只要有敵人出沒的地方、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/惡魔螃蟹.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #125
126,水晶螃蟹,金屬系,18,31,36,10,10,9,105,水8火2,攻擊LV1、防禦LV1,2級普卡,○,○,莎蓮娜島蒂娜村周邊、芙蕾雅島水之洞窟、將軍塚－墓室、芙蕾雅西邊、水曜之域的地下水路(137.99),"蒂娜村周邊(517,238)、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品","莎蓮娜島蒂娜村周邊、芙蕾雅島水之洞窟、將軍塚－墓室、芙蕾雅西邊、水曜之域的地下水路(137.99)；蒂娜村周邊(517,238)、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/水晶螃蟹.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #126
127,鐵剪螃蟹,金屬系,14,34,37,12,8,9,105,地8風2,攻擊LV1、防禦LV1,3級銀卡,○,○,索奇亞島大沙漠、庫魯克斯島貝尼恰斯火山、優紀斷堐亞紀側外,"索奇亞沙漠(462,205)、(501,209)、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品","索奇亞島大沙漠、庫魯克斯島貝尼恰斯火山、優紀斷堐亞紀側外；索奇亞沙漠(462,205)、(501,209)、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/鐵剪螃蟹.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #127
128,黃金螃蟹,金屬系,22,30,34,7,12,9,105,地2風8,攻擊LV1、防禦LV1,3級銀卡,○,○,烏克蘭井底之道,"烏克蘭井底之道(22,29)(靠近醫院的那層)；請參考「忍者就職」任務、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品","烏克蘭井底之道；烏克蘭井底之道(22,29)(靠近醫院的那層)；請參考「忍者就職」任務、左鍵雙擊「超合金」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/黃金螃蟹.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #128
129,蜥蝪戰士,龍　系,22,32,32,12,12,8,110,地7火3,攻擊LV1、防禦LV1,3級普卡,○,╳,索奇亞海洞窟、深淵、咨詢之塔、白之練兵場(灰),"索奇亞海底洞窟地下二樓(8,47)","索奇亞海洞窟、深淵、咨詢之塔、白之練兵場(灰)；索奇亞海底洞窟地下二樓(8,47)",捕捉,/img/原生寵物/蜥蝪戰士.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #129
130,蜥蝪鬥士,龍　系,18,37,37,8,10,8,110,地3水7,攻擊LV1、防禦LV1,4級銀卡,○,╳,羅連斯研究塔、詛咒的迷宮、咨詢之塔、永久凍土、白之練兵場(灰),"詛咒的迷宮地下22樓(17,10)；請參考「戰鬥系階級提昇Ⅲ」任務","羅連斯研究塔、詛咒的迷宮、咨詢之塔、永久凍土、白之練兵場(灰)；詛咒的迷宮地下22樓(17,10)；請參考「戰鬥系階級提昇Ⅲ」任務",捕捉,/img/原生寵物/蜥蝪鬥士.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #130
131,蜥蝪武士,龍　系,20,31,30,15,14,8,110,水3火7,攻擊LV1、防禦LV1,3級普卡,○,╳,時波之祀、永久凍土、白之練兵場(灰)、白迷宮、白色挪亞,"白迷宮2樓(109,171)；請參考「誓言之花」任務、活動「紅利兌換」、完成「弦音語(將軍塚II)」任務隨機取得","時波之祀、永久凍土、白之練兵場(灰)、白迷宮、白色挪亞；白迷宮2樓(109,171)；請參考「誓言之花」任務、活動「紅利兌換」、完成「弦音語(將軍塚II)」任務隨機取得",捕捉,/img/原生寵物/蜥蝪武士.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #131
132,獵豹蜥蝪,龍　系,23,36,28,10,13,8,110,火3風7,攻擊LV1、防禦LV1,4級銀卡,○,╳,詛咒的迷宮、深淵、咨詢之塔、白之練兵場(灰),"詛咒的迷宮地下29樓(12,12)；請參考「戰鬥系階級提昇Ⅲ」任務","詛咒的迷宮、深淵、咨詢之塔、白之練兵場(灰)；詛咒的迷宮地下29樓(12,12)；請參考「戰鬥系階級提昇Ⅲ」任務",捕捉,/img/原生寵物/獵豹蜥蝪.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #132
133,大地翼龍,龍　系,29,28,32,20,11,6,120,地10,攻擊LV1、防禦LV1,6級銀卡,○,○,莎蓮娜島貝茲雷姆迷宮、詛咒的迷宮,"詛咒的迷宮地下7樓(16,20)；請參考「戰鬥系階級提昇Ⅲ」任務、左鍵雙擊「化龍轉生珠」隨機取得","莎蓮娜島貝茲雷姆迷宮、詛咒的迷宮；詛咒的迷宮地下7樓(16,20)；請參考「戰鬥系階級提昇Ⅲ」任務、左鍵雙擊「化龍轉生珠」隨機取得",捕捉,/img/原生寵物/大地翼龍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #133
134,寒冰翼龍,龍　系,30,30,31,17,12,6,120,水10,攻擊LV1、防禦LV1,5級普卡,○,○,魔法大學青龍的洞窟、將軍塚－墓室,"青龍的洞窟四樓(11,23)；請參考「生產系階級提昇Ⅲ」任務、左鍵雙擊「化龍轉生珠」隨機取得","魔法大學青龍的洞窟、將軍塚－墓室；青龍的洞窟四樓(11,23)；請參考「生產系階級提昇Ⅲ」任務、左鍵雙擊「化龍轉生珠」隨機取得",捕捉,/img/原生寵物/寒冰翼龍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #134
135,火焰翼龍,龍　系,33,33,25,16,13,6,120,火10,攻擊LV1、防禦LV1,5級普卡,○,○,,完成「異界之神(琥珀之卵6)」任務取得、左鍵雙擊「化龍轉生珠」隨機取得,完成「異界之神(琥珀之卵6)」任務取得、左鍵雙擊「化龍轉生珠」隨機取得,捕捉,/img/原生寵物/火焰翼龍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #135
136,烈風翼龍,龍　系,32,30,23,20,15,6,120,風10,攻擊LV1、防禦LV1,6級銀卡,○,○,殷紅山路、彩葉原迷宮、星詠的宮殿、日曜之城、朝日山,"星詠的宮殿地下1F(98,91)；請參考「星詠的宮殿」任務、皇后陵寢全域(帶隊者身上不能攜帶彩葉草苗)；請參考「彩葉草之戀」任務、左鍵雙擊「化龍轉生珠」隨機取得","殷紅山路、彩葉原迷宮、星詠的宮殿、日曜之城、朝日山；星詠的宮殿地下1F(98,91)；請參考「星詠的宮殿」任務、皇后陵寢全域(帶隊者身上不能攜帶彩葉草苗)；請參考「彩葉草之戀」任務、左鍵雙擊「化龍轉生珠」隨機取得",捕捉,/img/原生寵物/烈風翼龍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #136
138,地龍蜥,龍　系,29,34,34,15,8,7,120,地8水2,攻擊LV1、防禦LV1,4級普卡,○,○,鯰魚的洞窟、永久凍土、深淵、咨詢之塔,"鯰魚洞窟地下三樓(20,37)；請參考「鯰魚洞窟」任務、左鍵雙擊「化龍轉生珠」隨機取得","鯰魚的洞窟、永久凍土、深淵、咨詢之塔；鯰魚洞窟地下三樓(20,37)；請參考「鯰魚洞窟」任務、左鍵雙擊「化龍轉生珠」隨機取得",捕捉,/img/原生寵物/地龍蜥.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #138
139,水龍蜥,龍　系,36,38,34,11,6,7,125,水8火2,攻擊LV1、防禦LV1,4級普卡,○,○,索奇亞海底洞窟、維諾亞海底洞窟、永久凍土、咨詢之塔,"索奇亞海底洞窟地下二樓(49,8)、左鍵雙擊「化龍轉生珠」隨機取得","索奇亞海底洞窟、維諾亞海底洞窟、永久凍土、咨詢之塔；索奇亞海底洞窟地下二樓(49,8)、左鍵雙擊「化龍轉生珠」隨機取得",捕捉,/img/原生寵物/水龍蜥.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #139
140,火龍蜥,龍　系,32,37,37,12,7,7,125,火8風2,攻擊LV1、防禦LV1,4級銀卡,○,○,岬之洞窟、深淵、咨詢之塔、將軍塚－墓室,"打完羅連斯後頂樓，逆牛的宮殿後面(765,48)；請參考「牛鬼的逆襲」任務、左鍵雙擊「化龍轉生珠」隨機取得","岬之洞窟、深淵、咨詢之塔、將軍塚－墓室；打完羅連斯後頂樓，逆牛的宮殿後面(765,48)；請參考「牛鬼的逆襲」任務、左鍵雙擊「化龍轉生珠」隨機取得",捕捉,/img/原生寵物/火龍蜥.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #140
141,風龍蜥,龍　系,35,35,31,10,9,7,120,地2風8,攻擊LV1、防禦LV1,5級銀卡,○,○,傑諾瓦鎮周邊、永久凍土、咨詢之塔,"傑諾瓦鎮西門出去(142,522)、左鍵雙擊「化龍轉生珠」隨機取得","傑諾瓦鎮周邊、永久凍土、咨詢之塔；傑諾瓦鎮西門出去(142,522)、左鍵雙擊「化龍轉生珠」隨機取得",捕捉,/img/原生寵物/風龍蜥.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #141
142,哥布林,人形系,27,27,27,17,7,9,105,地7水3,攻擊LV1、防禦LV1,1級普卡,○,○,法蘭城近郊、哥布林之家、尼維爾海村附近,法蘭城近郊或牛鬼的洞窟最上層打倒鬼犬後出現、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,法蘭城近郊、哥布林之家、尼維爾海村附近；法蘭城近郊或牛鬼的洞窟最上層打倒鬼犬後出現、左鍵雙擊「水無月之袋」，隨機取得「符紙人」購買「浪人の戀」產品包,捕捉,/img/原生寵物/哥布林.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #142
